Dia;Hora;Temperatura;Humedad relativa;Presion atmosferica
20;3;23,73;48,7;758,04
25;12;21,19;43,45;759,75
2;17;13,86;46,1;755,61
18;15;15,27;39,12;762,03
22;6;21,27;35,22;763,49
19;4;23,4;42,37;756,24
20;9;8,73;33,62;758,63
12;20;21,39;45,71;762,18
11;2;6,43;47,25;761,85
21;5;0;45,22;760,99
13;5;7,52;38,6;755,55
22;4;8,94;32,21;755,36
16;10;5,53;44,5;758,6
6;2;21,06;45,88;761,05
3;16;29,14;45,64;756,27
11;17;3,57;36,4;759,95
12;8;4,58;46,33;763,02
30;6;11,73;37,15;757,02
25;11;7,18;42,9;757,18
7;11;12,81;39,78;764,59
23;17;26,15;34,12;764
14;10;8,32;44,37;761,6
25;1;12,98;35,52;759,12
17;11;8,82;36,6;764,14
7;0;24,1;30,35;755,05
19;18;9,65;34,51;764,15
23;8;7,21;39,83;760,51
14;21;5,89;44,42;758,19
24;18;13,07;42,08;758,12
9;16;4,43;44,99;764,59
13;0;19,34;34,97;757,67
14;12;4,54;36,02;762,53
3;8;9,12;40,88;764,07
6;5;27,93;42,6;762,57
4;2;25,3;40,37;756,48
27;20;10,7;35,2;759,83
14;0;15,8;47,23;760,07
14;4;24,67;39,2;762,5
3;23;21,14;37,34;756,96
18;8;23,73;33,49;760,96
30;15;27,44;34,16;755,29
16;8;1,54;41,41;759,87
19;22;22,41;47,09;755,02
13;16;7,46;49,99;755,67
16;18;10,69;45,28;758,51
18;10;29,55;39,66;764,1
6;23;7,6;41,65;755,78
25;15;2,19;46,17;762,65
21;16;16,9;45,21;758,35
22;1;18,02;37,4;760,55
16;11;26,64;45,62;758,52
5;0;9,69;32,81;764,9
7;9;8,9;30,75;760,9
23;16;11,13;30,54;756,75
17;21;21,63;38,24;764,46
13;11;16,88;33,63;756,3
7;23;9,83;36,93;758,58
13;17;1,01;44,61;760,54
8;3;29,04;37,67;756,1
10;5;1,59;41,81;757,67
30;1;9,63;37,51;761,7
9;15;1,11;34,87;756,19
27;8;28,97;47,01;761,62
5;8;4,32;38,97;755,9
28;3;26,95;30,73;758,7
11;4;21,03;33,22;764,22
9;10;18,4;43,07;761,2
25;9;18,62;39,12;756,04
4;17;2,46;48,63;756,1
7;4;11,9;49,6;760,61
19;9;25,76;49,24;760,36
16;12;14,69;47,79;761,63
21;18;3,27;44,42;757,01
25;6;25,96;31,87;761,56
7;2;8,45;46,33;764,35
15;13;27,26;43,45;758,77
21;22;3,65;45,82;755,33
3;7;0,54;46,18;756,82
14;18;1,13;33,33;755,76
28;14;6,61;45,89;757,51
6;14;27,61;42,33;757,19
2;18;0,25;31,2;761,3
29;4;7,41;40,39;762,3
4;7;7,51;46,8;758,42
22;8;23,5;34,52;758,94
19;15;22,04;46,94;764,54
6;16;21,11;43,49;759,7
20;20;1,28;48,14;761,97
11;23;8,94;42,18;763,81
5;11;20,24;46,57;764,66
30;2;10,62;43,95;762,11
8;11;14,68;43,41;758,37
17;7;10,95;33,59;758,39
15;4;11,76;48,97;757,98
14;3;23,07;37,78;756,99
16;21;27,21;33,31;760,37
6;1;25,55;48,08;758,59
13;9;28,16;46,22;757,36
1;20;5,32;44,09;757,95
17;22;27,54;44,36;756,85
10;1;17,89;33,42;758,71
24;1;5,37;31,98;759,65
8;2;3,55;30,52;755,43
5;23;5,61;35,17;756,27
25;10;15,51;32,37;761,59
30;20;13,87;31,19;758,52
17;17;21,83;41,71;758,72
22;14;19,08;42,81;759,88
23;19;9,06;34,93;763,75
26;16;24,73;46,53;760,01
30;4;14,07;44,67;758,1
14;19;0,11;35,53;756,6
6;11;25;34,16;761,93
4;15;4,78;48,04;764,14
2;23;26,46;42,64;756,06
25;0;5,27;44,65;757,2
28;19;18,19;42,19;759,29
24;20;5,43;39,47;760,85
26;13;14,47;33,95;763,19
24;23;15,96;38,79;760,99
1;22;26,46;40,3;764,85
9;14;8,59;43,47;755,88
29;14;24,66;43,98;763,99
29;21;11,71;45,69;757,05
17;16;21,02;45,55;762,55
3;18;5,75;49,72;764,14
9;11;13,12;38,14;755,14
9;0;3,41;37,87;755,97
29;0;22,23;43,19;763,83
10;17;13,42;39,68;764,91
16;19;28,46;49,57;758,13
20;5;4,41;49,04;758,88
13;1;23,22;41,17;755,97
1;21;21,37;38,18;762,03
11;16;18,48;49,94;756,08
30;13;16,72;36,95;756,01
8;19;12,36;30,28;755,92
16;20;8,75;38,32;764,67
27;18;12,04;48,59;759,77
19;6;10,4;42,45;755,84
13;6;19,46;44,01;764,64
23;20;4,27;44,25;761,77
1;4;28,5;30,91;760,07
11;9;8,94;41,99;759,58
13;14;21,58;33,9;755,65
30;8;22,82;38,47;763,79
29;22;21,9;47,06;756,65
9;13;11,41;37,31;763,7
7;22;20,33;30,5;758,91
14;15;9,86;30,86;761,04
4;6;27,82;46,41;761,25
4;11;20,12;42,94;762,07
21;6;3,33;43,27;757,62
9;18;22,6;45,09;755,15
3;14;28,93;43,92;759,1
19;14;10,76;31,31;762,18
22;19;12,64;39,89;759,63
21;12;26,2;31,57;757,37
11;10;10,99;30,13;761,37
8;17;8,64;41,59;763,16
19;20;4,42;34,33;756,5
19;0;20,31;38,18;760,5
11;12;28,67;42,91;759,16
21;8;5,25;38,03;756,43
12;21;20,62;31,8;763,29
10;6;16,97;30,82;763,73
1;6;26,23;46,49;763,41
29;15;27,15;31,68;761,27
3;12;3,28;44,87;764,55
18;3;29,97;43,13;763,91
29;20;16,46;30,46;755,2
30;11;24,73;34,8;755,58
2;0;24,54;48,55;761,89
30;14;29,41;44,11;763,89
14;23;24,84;34,9;755,68
9;6;4,53;39,46;757,42
10;3;4,97;48,33;756,21
13;3;29,96;33;760,52
9;19;23,96;45,58;763,21
3;3;14,63;48,54;762,93
9;23;29,36;34,9;762,75
29;12;27,45;42,14;760,92
18;16;20,38;34,23;757,23
5;14;25,69;44,38;759,56
8;18;24,57;41,61;761,15
27;23;5,14;41,52;760,81
5;12;13,78;39,85;758,56
14;7;6,64;41,07;756,6
12;5;23,22;40,82;764,96
11;1;25,7;49,21;763,13
21;11;6,67;41,9;756,75
27;0;11,53;43,09;760,98
12;23;8,89;39,61;761,7
4;19;29,32;46,5;762,8
30;21;8,53;31,58;759,19
11;7;23,63;46,38;762,39
10;11;23,65;30,02;760,13
20;19;24,49;48,59;763,58
1;2;6,76;36,77;759,15
27;5;4,08;37,88;756,03
10;12;21,77;43,95;755,6
12;18;29,48;45,38;756,68
7;14;6,96;31,47;758,31
17;12;20,15;31,52;760,98
18;21;1,52;39,56;760,77
3;2;9,57;45,16;761,5
13;15;16;36,56;758,04
28;2;9,67;41,04;763,66
22;20;5,58;37,73;763,16
20;16;15,7;48,78;760,26
27;3;4,41;39,97;760,4
30;7;17,51;49,07;764,1
16;16;26,11;35,2;759,79
20;4;16,35;34,94;760,19
16;3;7,23;33,62;756,81
17;10;21,28;30,02;758,98
23;3;12,73;45,84;763,13
5;20;4,18;44,83;761,56
15;2;2,91;45,37;759,46
23;2;20,34;44,12;763,76
29;17;19,3;47,1;764,2
26;9;2,08;35,72;762,56
1;7;13,92;36,44;762,49
22;22;0,17;36,75;763,32
23;12;10,29;37,84;761,52
6;12;22,65;45,79;759,7
9;20;18,85;37,29;760,06
24;9;12,94;49,26;756,01
28;1;0,26;30,57;759,62
16;1;21,91;32,06;760,44
21;13;15,74;36;759,33
28;13;6,31;35,54;764,93
5;19;17,54;42,92;757,21
22;15;8,67;37,69;761,8
10;9;21,51;39,81;758,36
25;16;2,72;32,27;761,87
11;0;9,38;34,75;763,79
11;20;9,23;46,3;760,99
6;22;14,02;37,94;755,34
21;7;19,93;31,44;763,56
11;19;27,5;37,95;758,71
3;22;25,01;33,18;763,22
27;11;9,37;44,5;758,13
2;15;16,94;49,67;764,31
4;21;17,39;49,69;762,73
8;7;27,02;48,11;761,67
4;20;24,05;38,29;757,03
9;4;18,77;31,18;758,61
8;8;10,47;34,3;760,64
22;7;8,5;38,92;763,83
17;15;18,56;42,4;759,06
20;18;16,13;47,9;762,93
3;15;21,82;33,48;761,26
29;7;10,08;43,1;764,77
7;1;21,51;31,38;756,3
26;10;3,39;34,27;760,89
24;15;19,93;44,66;758,03
10;19;25,6;48,78;756,29
11;13;15,57;30,15;762,24
27;10;7,1;45,28;759,18
12;9;22,61;34,03;763,6
16;23;16,9;45,97;758,75
5;1;11,93;46,75;755,04
26;14;22,56;34,23;759,26
6;6;23,66;32,81;756,57
18;20;7,24;40,23;763,7
9;1;11,46;44,49;763,58
8;13;26,52;43,91;759,63
29;19;29,41;41,33;761,18
14;14;7,9;38,63;759,68
15;14;1,99;32,9;764,83
28;18;3,88;32,39;755,82
5;7;2,57;42,39;757,84
20;23;3,67;31,55;761,93
2;2;15,86;32,45;761,15
6;4;3,65;39,06;758,47
3;4;14,84;49,64;757,78
30;16;6,12;40,32;761,44
9;12;9,75;40,14;763,24
30;18;22,35;32,99;764,27
9;21;13,25;36,34;755,06
23;7;18,61;39,25;759,82
19;8;7,22;48,27;755,34
26;2;1,04;31,83;762,45
7;6;27,51;39,62;755,64
19;13;14,71;30,03;756,65
21;20;15,83;43,9;758,06
4;0;13,06;31,34;760,18
18;18;18,95;45,33;763,27
23;0;0,27;46,04;757,9
18;14;4,69;47,34;755,9
3;9;25,42;36,93;761,46
17;5;21,59;38,35;761,03
5;15;1,7;30,76;758,59
15;5;22,22;35,65;757,31
18;11;19,25;36,85;764,85
2;14;12,32;46,94;763,27
7;15;25,58;34,4;756,23
20;14;4,87;48,87;763,98
24;17;0,39;49,35;755,95
16;13;13,63;36,52;759
25;23;24,14;35,71;763,13
29;18;2,9;36,72;757,07
12;4;14,26;41,62;760,02
5;9;28,98;44,67;760,17
16;0;16,06;30,56;762,69
13;12;5,08;30,02;761,97
4;18;18,58;43,77;756,83
26;11;18,35;48,79;758,11
27;13;20,06;48,69;757,01
9;9;28,79;46,5;763,48
1;19;16,6;44,13;756,44
4;1;15,28;42,86;762,47
9;7;17,17;38,68;762,97
17;9;0,02;31,62;755,71
18;2;25,84;35,91;762,98
4;13;19,93;38,61;763,37
11;6;24,58;30,61;755,04
24;2;11,09;34,51;757,19
3;5;13,99;48,16;763,46
12;13;14,55;44,28;764,9
24;22;16,27;35,09;761,84
9;22;12,26;46,9;755,59
8;21;10,01;30,05;758,51
27;21;13,85;37,89;757,68
6;19;7,95;43,75;763,15
30;12;13,82;36,8;761,35
12;15;1,28;39,09;756,37
19;11;19,8;49,74;755,27
22;12;13,5;47,64;758,61
14;11;11,13;47,71;760,46
8;10;13,09;42,69;763,03
2;21;13,75;36,59;763,56
23;10;5,02;47,37;764,81
27;7;13,23;32,62;756,15
13;2;20,56;36,31;757,28
28;8;20,47;30,34;756,27
11;5;1,05;39,9;758,71
18;6;0,18;45,73;759,76
17;8;20,05;49,16;756,56
29;1;15,79;44,18;762,39
22;0;1,53;49,77;755,88
13;10;18,38;40;762,52
6;13;9,78;44,79;760,44
26;6;4,36;36,36;760,53
12;22;5,2;39,97;757,64
16;5;10,78;48,39;763,15
11;22;5,62;43,36;755,87
7;16;23,7;31,18;761,35
16;2;8,29;44,77;758,03
9;5;15,71;44,32;760,91
12;2;18,36;30,53;755,02
25;14;17,67;37,2;755,1
16;15;7,25;30,14;755,21
26;7;8,06;34,93;762,37
24;16;29,12;31,74;758,75
13;7;13,77;34,73;757,31
19;7;27,35;44,37;760,04
13;13;22,28;38,57;761,94
22;16;3,76;41,55;756,18
7;19;0,89;36,01;755,4
4;5;26,83;36,57;761,95
2;19;20,41;45,87;760,19
20;7;15,4;32,74;759,36
1;5;24,57;49,81;759,34
18;17;19,82;48,31;756,89
5;22;7,21;32,34;762,91
14;16;9,82;32,72;762,1
8;0;16,75;47,13;760,05
26;4;21,17;35,14;761,4
22;23;16,49;35,34;759,14
3;20;25,73;41,7;755,86
10;8;16,73;31,45;758,69
21;9;21,49;30,81;758,87
18;4;5,52;44,18;757,01
20;8;1,87;38,84;759,44
25;7;1,95;48,83;760,83
27;17;2,44;33,61;761,42
16;6;20,65;39,03;762,22
15;6;11,5;39,14;756,86
17;19;23,81;49,24;764,53
14;17;11,24;38,09;761,11
18;5;21,36;47,93;761,19
12;12;8,6;41,31;755,52
19;2;24,57;33,28;763,27
25;21;21,98;47,65;759,37
20;12;20,22;44,43;757,12
14;22;24,44;48,8;763,99
26;18;13,4;36,34;756,97
23;4;9,42;34,9;760,25
2;10;6,77;42,5;759,42
16;7;9,89;39,8;762,58
27;2;23,53;30,14;761,87
11;21;29,61;34,56;764,46
17;14;7,84;36,55;758,71
10;4;5,47;37,69;761,09
8;9;4,85;30,29;760,79
8;1;10,58;46,63;757,74
13;21;26,3;41,84;756,7
6;7;5,37;33,75;760,37
3;17;3,3;39,12;763,47
8;22;25,6;46,52;758,74
3;10;26,84;39,51;758,62
28;12;26,18;30,62;755,42
1;3;3,9;47,65;757,89
12;11;16,19;30,07;758,88
15;9;0,4;31,94;756,74
28;4;23,99;30,89;755,21
26;17;7,21;44,65;761,69
25;13;4,18;40,69;760,87
19;3;23,83;46,02;760,95
4;10;8,85;38,54;762,19
17;20;9,09;48,79;756,92
19;12;22,81;39,98;760,33
7;18;20,31;30,77;762,69
6;20;17,97;46,09;763,91
26;15;20,85;36,29;760,29
5;3;23,7;42,93;756,8
4;23;27,31;46,05;758,61
8;23;25,38;32,72;760,1
20;0;24,52;41,95;755,65
29;10;19,64;30,81;764,52
15;18;28,85;39,81;757,55
28;5;10,98;40,84;756,64
1;13;19,36;41,05;758,75
2;6;20,4;47,12;759,34
7;17;6,95;33,13;764,47
8;12;4,46;39,15;762,24
8;15;17,11;44,43;764,91
12;7;10,09;47,29;758,84
21;0;6,13;37,85;760,02
5;13;21,29;45,55;756,83
23;14;27,43;45,62;759,67
26;22;12,6;39,56;761,85
5;16;9,93;48,08;764,31
17;18;11,31;37,87;760,56
12;6;19,21;32,16;760,37
17;3;5,99;43;758,59
30;9;1,45;41,86;756,03
7;21;5,6;47,01;755,69
15;11;7,19;41,28;763,82
10;10;28,01;38,61;757,42
16;22;12,11;45,44;759,27
17;23;29,63;39,18;764,3
19;23;22,82;37,1;764,44
5;21;16,6;40,94;757,87
13;8;11,13;32,52;760,63
22;9;11,07;37,51;757,55
24;13;28,69;48,48;763,96
22;5;5,74;37,37;762,42
17;1;10,97;31,25;756,04
13;19;14,12;41,62;760,93
10;7;11,07;49,72;761,89
25;17;14,46;39,03;760,1
21;17;14,27;47,26;760,09
15;15;11,58;48,3;757,65
6;10;6,63;43,65;762,4
1;15;19,61;44,55;762,81
10;2;1,66;34,61;756,14
25;18;26,76;42,72;759,77
30;19;26,17;31,87;756,78
6;21;11,47;30,55;758,61
5;2;9,82;45,77;756,86
9;3;25,02;41,41;757,87
2;3;0,04;49,71;764,64
23;18;22,9;41,81;760,23
28;17;12,39;35,86;762,57
28;11;9,4;34,28;758,39
12;0;6,26;48,49;755,94
28;20;12,18;49,53;757,79
12;17;22,21;42,68;764,87
13;20;29,39;42,26;762,28
28;23;5,84;43,76;757,02
18;23;24,26;45,16;758,86
24;21;22,84;32,01;763,54
23;13;15,49;34,68;763,33
21;3;1,32;35,28;756,1
3;1;0,5;38,99;757,01
15;7;12,69;48,28;760,55
20;11;15,29;30,64;756,38
21;2;21,05;43,54;762,51
7;10;10,25;42,35;763,77
13;4;17,84;40,73;757,29
29;11;29,89;31,16;759,14
19;1;11,93;33,44;759,23
21;1;8,54;30,4;758,99
20;17;22,6;36,53;758,75
26;23;28,68;40,69;764,59
25;19;17,56;48,53;759,1
28;7;13,34;41,02;757,18
14;8;19,14;45,79;760,42
17;6;27,22;47,51;757,73
1;16;19,98;37,65;756,58
17;2;24,38;36,46;759,5
16;17;22,03;40,66;756,12
14;13;23,12;37,56;762,29
29;16;3,37;30,92;762,14
20;13;19,89;32,36;755,59
29;9;14,64;40,13;764,32
23;11;13,73;37,88;763,29
11;15;23,77;37,6;764,66
15;21;18,03;48,75;757,13
19;19;12,6;35,92;755,31
1;18;29,28;30,41;762,61
18;1;26,92;38,4;758,3
17;0;7,5;42,97;762,73
2;12;24,07;42,54;762,88
17;4;13,63;39,06;758,71
21;10;7,14;32,46;757,38
5;10;2,41;41,51;763,65
18;12;25,04;35,4;756,92
3;6;19,95;44,02;760,2
8;4;13,82;43,53;763,42
25;8;2,81;30,19;762,34
1;8;6,65;42,71;762,98
30;22;3,98;35,55;756,15
2;22;26,02;32,22;756,48
15;0;9,15;39,06;763,07
22;21;4,19;42,59;764,24
19;16;0,38;37,9;758,7
14;2;15,57;46,75;756,72
12;14;19,93;34,52;757,55
24;8;29,59;49,5;763,94
12;3;10,08;30,72;761,83
10;21;18,54;43,61;760,9
2;7;9,04;35,51;761,81
3;13;21,13;39,1;761,94
30;5;11,65;33,92;763,14
5;4;17,32;47,79;760,71
10;16;9,43;48,25;761,78
16;14;24,29;36,66;758,22
30;0;0,5;35,15;761,59
29;5;14,17;34,95;762
21;4;6,94;30,24;755,35
24;6;20,3;35,58;760,45
18;22;3,38;49,35;759,63
29;3;21,95;38,07;758,53
16;9;5,56;48,61;758,53
15;1;13,45;45,53;762,07
2;20;9,67;43,21;764,5
14;9;26,87;39,17;761,35
29;2;23,65;30,86;763,94
2;5;2,1;33,77;757,56
20;15;20,31;42,68;760,03
14;20;8,72;40,51;762,74
28;16;6,95;45,14;756,73
18;9;21,24;41,07;761,31
21;21;5,24;47,86;762,31
24;7;16,44;42,21;760,1
25;5;26,02;35,73;756,93
24;14;21,35;31,04;763,93
24;5;28,91;33,51;762,5
26;0;16,7;42,81;760,88
10;20;21,84;47,41;756,97
8;14;17,29;36,02;764,44
22;18;25,12;47,65;761,49
11;8;8,78;32,4;764,14
6;8;23,95;41,8;757,97
28;15;10,79;38,88;758,45
10;22;5,66;40,69;755,72
5;6;12,37;41,39;762,25
15;17;26,86;45,88;756,93
23;6;18,41;35,57;755,43
13;18;3,55;42,96;757,5
28;0;25,98;30,54;762,52
11;11;1,73;35,96;758,38
25;22;7,85;36,81;760,58
27;12;20,18;34,97;757,68
27;16;1,32;31,99;760,21
20;6;4,59;30,66;764,67
1;11;22,1;37,16;755,71
26;20;10,62;38,07;761,11
14;5;26,38;38,33;764,78
15;8;16,39;41,01;761,02
20;21;27,69;41,81;759,44
27;14;21,33;46,58;755,75
15;23;21,69;42,68;758,99
15;16;24,36;31,2;764,89
14;6;19,44;44,73;763,94
10;14;5,23;46,23;755,5
2;8;27,69;30,86;760,16
8;20;17,72;46,48;756,46
2;16;15,66;30,5;757,69
15;22;26,92;36,25;755,03
29;13;22,62;31,18;757,61
18;19;11,04;33,26;755,59
28;21;23,84;49,22;764,56
27;19;7,88;36,24;763,21
2;1;29,57;35,77;757,09
25;20;11,58;41,48;760,65
5;18;21,48;33,87;764,37
20;2;6,84;48,97;761,11
23;23;24,79;32,4;758,15
1;1;7,66;36,63;764,59
9;2;26,1;33,81;764,78
27;1;1,64;30,54;764,48
1;9;8,83;48,15;760,55
4;4;0,44;46,87;756,13
27;6;14,69;37,58;762,07
24;0;5,28;46,63;755,99
6;9;24,66;36,15;759,56
15;3;16,74;31,36;758,54
22;3;14,93;34,48;757,2
1;14;11,18;48,11;759,1
3;11;16,58;38,87;764,02
1;12;23,54;30,38;759,23
22;13;10,7;38,22;755,82
9;17;10,6;34,89;755,41
25;3;5,2;44,38;756,05
11;3;28,11;45,68;755,68
7;13;1,02;31,94;764,87
21;23;9,57;30,3;762,22
12;16;1,91;48,28;758,48
13;23;11,91;40,59;757,24
24;4;17,51;39,89;758,82
22;11;7,99;38,35;760,31
18;0;4,46;45,65;761,19
28;22;26,67;43,09;762,98
7;3;5,1;43,75;756,81
19;17;25;48,59;756,84
6;15;13,21;42,67;758,83
13;22;8,25;37,37;757,82
5;5;8,89;47,86;764,52
16;4;29,23;38,15;761,01
2;4;15,08;41,6;761,26
26;8;19,92;32,43;758,94
26;1;0,5;47,69;763,3
15;12;13,16;45,74;756,11
4;14;16,06;48,34;756,9
7;8;5,71;49,57;759,74
30;23;29,72;34,84;761,87
30;10;4,94;42,95;759,25
12;10;20,13;36,36;759,04
29;8;10,4;49,69;764,37
21;15;23,54;37,42;760,11
24;19;2,79;39;758,77
1;17;28,59;38,4;755,47
22;2;20,27;38,91;759,5
19;10;15,37;44,13;756,14
18;13;4,43;46,21;763,87
20;1;15,12;49,55;759,7
26;3;26,55;46,83;759,06
23;15;23,61;44,41;756,97
29;6;24,55;43,88;756,91
15;10;23,49;43,71;760,62
23;9;22,74;43,26;761,4
26;12;6,12;49,69;759,44
10;18;23,98;44,22;757,01
23;5;15,47;42,71;762,05
23;21;13,65;48,18;756,75
26;5;16,89;38,84;756,84
10;23;8,56;39,79;758,43
7;5;9,92;30,5;759,16
24;12;6,71;32,36;759,37
2;11;5,44;41,66;762,62
8;16;6,57;49,16;757,06
20;10;6,84;37,8;764,23
7;12;26,67;40,22;759,03
27;4;15,26;34,47;759
5;17;24,71;31,14;760,56
6;18;19,47;33,41;755,55
24;10;27,11;46,9;762,69
12;19;6,45;36,46;759,64
23;1;25,52;31,27;757,71
1;0;4,96;36,98;762,99
25;2;22,46;46,63;759,71
2;13;18,28;33,14;757,78
21;19;1,66;38,57;764,35
3;0;22,09;38,84;758,28
6;17;11,75;46,58;755,95
8;6;17,95;46,52;757,23
25;4;26,13;31,51;755,24
4;3;17,9;32,25;760,39
30;17;28,76;30,86;761,92
14;1;14,94;42,75;764,6
26;19;25,14;40,82;757,23
2;9;24,99;42,08;760,04
19;21;27,12;48,33;761,4
9;8;17,1;36,83;763,69
27;15;14,63;40,63;761,31
27;9;9,78;30,59;763,68
7;20;0,45;45,71;761,34
10;15;2,38;31,27;756,42
26;21;22,17;42,34;764,25
10;0;15,92;49,68;763,28
22;17;26,72;42,28;759,72
19;5;21,49;41,24;758,3
24;11;7,32;47,76;760,67
4;16;7,07;48;757,27
1;23;26,15;44,18;760,04
17;13;1,59;36,06;760,08
11;14;8,39;30,4;763,22
10;13;20,41;30,83;763
8;5;27,26;36,66;761,76
4;9;25,72;48,82;755,62
21;14;4,78;45,32;764,23
6;0;26,32;36,18;760,86
4;8;26,42;49,24;758,52
29;23;10,08;38,88;762,32
28;9;15,67;41,75;759,24
22;10;15,84;33,63;761,3
3;19;0,89;38,17;759,05
12;1;26,58;45,31;762,41
4;12;20,97;47,66;758,79
15;20;4,54;43,83;759,54
20;22;13,17;34,95;755,77
15;19;11,57;45,84;760,66
28;6;3,53;35,13;757,19
7;7;1,44;37,74;756,74
28;10;25,03;30,7;755,65
27;22;21,08;32,32;760,1
3;21;24,43;34,11;764,67
1;10;15,97;34,47;755,55
30;3;19,65;46,42;760,14
6;3;15,36;36,14;759,35
18;7;25,73;33,49;764,29
11;18;22,58;31,9;760,77
24;3;0,66;44,6;757,92
23;22;16,22;33,09;760,55
4;22;17,04;43,16;763,56
